=== BANK_CODE ===
Rows: 485, Columns: 4

         Ref link                                                              รหัสมาตรฐาน                                                                                                                                                                                                                                    2025-10-10 00:00:00 Unnamed: 3
              313                                      บริษัท โดเมสติค แคปปิตอล 2015 จำกัด                                                                                                                                                                                                                  DOMESTIC CAPITAL 2015 COMPANY LIMITED   25590104
              314                                                    บริษัท ไอทีทีพี จำกัด                                                                                                                                                                                                                                          ITTP CO.,LTD.   25590104
              315                                              บริษัท ทีเค เงินทันใจ จำกัด                                                                                                                                                                                                                       TK NGERN TAN JAI COMPANY LIMITED   25590128
              316                                            บริษัท เคบี เจ แคปปิตอล จำกัด                                                                                                                                                                                                                                 KB J CAPITAL CO., LTD.   25580815
              318                                                     บริษัท โอมิเซะ จำกัด                                                                                                                                                                                                                                  OMISE COMPANY LIMITED   25580915
              320                                                 บริษัท เซ็นดิท เทค จำกัด                                                                                                                                                                                                                            XENDIT TECH COMPANY LIMITED   25600122
              321                                           บริษัท เอเชียเจมส์ฟอร์ยู จำกัด                                                                                                                                                                                                                              ASIAGEMS FOR YOU CO.,LTD.   25590609
              322                                         บริษัท จี แคปปิตอล จำกัด (มหาชน)                                                                                                                                                                                                                       G CAPITAL PUBLIC COMPANY LIMITED   25581201
              323                                                   บริษัท เฮลโลเพย์ จำกัด                                                                                                                                                                                                                               HELLOPAY COMPANY LIMITED   25590425
              325                                                  บริษัท เงินต่อยอด จำกัด                                                                                                                                                                                                                            NGOENTORYOD COMPANY LIMITED   25590920
              326                                              บริษัท ปิยะระยองกรุ๊ป จำกัด                                                                                                                                                                                                                               PIYARAYONGGROUP CO.,LTD.   25590301
              329                                               บริษัท เอ.ที.ลีซซิ่ง จำกัด                                                                                                                                                                                                                                  A.T.LEASIAG CO., LTD.   25591223
              330                                                 บริษัท เงินแสนสบาย จำกัด                                                                                                                                                                                                                       NGERN SAEN SABAI COMPANY LIMITED   25590519
              331                         บริษัท วีซ่า อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด                                                                                                                                                                                                          VISA INTERNATIONAL (THAILAND) COMPANY LIMITED   25610615
              333                                    บริษัท ไทย เพย์เมนต์ เน็ตเวิร์ก จำกัด                                                                                                                                                                                                                   THAI PAYMENT NETWORK COMPANY LIMITED   25590406
              335                                               บริษัท แอสเซนด์ นาโน จำกัด                                                                                                                                                                                                                            ASCEND NANO COMPANY LIMITED   25610725
              336                                            บริษัท โมนี่ (แคปปิตอล) จำกัด                                                                                                                                                                                                                              MONEE (CAPITAL) CO., LTD.   25590601
              337                                                   บริษัท พระยาเปย์ จำกัด                                                                                                                                                                                                                               PRAYAPAY COMPANY LIMITED   25590901
              338                                  บริษัท ดับบลิว เอส โอ แอล จำกัด (มหาชน)                                                                                                                                                                                                                            WSOL PUBLIC COMPANY LIMITED   25620226
              339                                         บริษัท เอ็มโอแอล เพย์เมนท์ จำกัด                                                                                                                                                                                                                            MOL PAYMENT COMPANY LIMITED   25591001
              340                                                     บริษัท เวลเพย์ จำกัด                                                                                                                                                                                                                                 WELPAY COMPANY LIMITED   25590629
              341                                    บริษัท นครหลวง แคปปิตอล จำกัด (มหาชน)                                                                                                                                                                                                             NAKHONLUANG CAPITAL PUBLIC COMPANY LIMITED   25610315
              342                                  บริษัท เอเอเอ็ม แคปปิตอล เซอร์วิส จำกัด                                                                                                                                                                                                                          AAM CAPITAL SERVICE CO., LTD.   25600201
              343                            บริษัท ทางด่วนและรถไฟฟ้ากรุงเทพ จำกัด (มหาชน)                                                                                                                                                                                                    BANGKOK EXPRESSWAY AND METRO PUBLIC COMPANY LIMITED   25590806
              344                                   บริษัท ทูซีทูพี พลัส (ประเทศไทย) จำกัด                                                                                                                                                                                                                   2C2P PLUS (THAILAND) COMPANY LIMITED   25591201
              347                                        บริษัท เธียรสุรัตน์ ลีสซิ่ง จำกัด                                                                                                                                                                                                                     THIENSURAT LEASING COMPANY LIMITED   25601102
              348                                                  บริษัท สวัสดีช้อป จำกัด                                                                                                                                                                                                                                 SAWASDEE SHOP CO.,LTD.   25610914
              349                                                     บริษัท บลูเพย์ จำกัด                                                                                                                                                                                                                                BLUEPAY COMPANY LIMITED   25600404
              350                               บริษัท เอเชีย เวลธ์ พลัส แมเนจเม้นท์ จำกัด                                                                                                                                                                                                            ASIA WEALTH PLUS MANAGEMENT COMPANY LIMITED   25600613
              352                                                  บริษัท วีซี เวลท์ จำกัด                                                                                                                                                                                                                              VC WEALTH COMPANY LIMITED   25610601
              353                                                 บริษัท มันนี่ สเปซ จำกัด                                                                                                                                                                                                                                  MONEY SPACE CO., LTD.   25610928
              354                                               บริษัท โซ สมาร์ท เทค จำกัด                                                                                                                                                                                                                                SO SMART TECH CO., LTD.   25601010
              355                                  บริษัท เอ็ม แคปปิตอล คอร์ปอเรชั่น จำกัด                                                                                                                                                                                                                  M CAPITAL CORPORATION COMPANY LIMITED   25610301
              356                                         บริษัท เงินเทอร์โบ จำกัด (มหาชน)                                                                                                                                                                                                                      NGERNTURBO PUBLIC COMPANY LIMITED   25620201
              357                                                บริษัท ควิก ลิสซิ่ง จำกัด                                                                                                                                                                                                                          QUICK LEASING COMPANY LIMITED   25610815
              358                                                   บริษัท เอนี่เพย์ จำกัด                                                                                                                                                                                                                                 ANYPAY COMPANY LIMITED   25611009
              359                                                 การทางพิเศษแห่งประเทศไทย                                                                                                                                                                                                                   THE EXPRESSWAY AUTHORITY OF THAILAND   25610921
              360                                           บริษัท เคเชอร์ เพย์เมนท์ จำกัด                                                                                                                                                                                                                          KSHER PAYMENT COMPANY LIMITED   25610928
              362                                        บริษัท เอส อาร์ ที ฟอเร๊กซ์ จำกัด                                                                                                                                                                                                                              SRT FOREX COMPANY LIMITED   25630724
              363                        บริษัท เจซีบี อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด                                                                                                                                                                                                                 JCB.INTERNATIONAL (THAILAND) CO., LTD.   25611009
              364                      บริษัท มาสเตอร์การ์ด เอเซีย/แปซิฟิค พีทีอี ลิมิเต็ด                                                                                                                                                                                                                       MASTERCARD ASIA/PACIFIC PTE LTD.   25611009
              365                   บริษัท ยูเนี่ยนเพย์ อินเตอร์เนชั่นแนล คอมพานี ลิมิเต็ด                                                                                                                                                                                                                 UNIONPAY INTERNATIONAL COMPANY LIMITED   25611009
              367                                         บริษัท อ๊อกเพย์ (ไทยแลนด์) จำกัด                                                                                                                                                                                                                       OXPAY (THAILAND) COMPANY LIMITED   25620103
              368                                     บริษัท ออโรร่า ฟิน ซินเนอร์ยี่ จำกัด                                                                                                                                                                                                                     AURORA FIN SYNERGY COMPANY LIMITED   25630701
              369           บริษัท เอ็นทีที เดต้า เพย์เม้นท์ เซอร์วิสเซส (ประเทศไทย) จำกัด                                                                                                                                                                                                       "NTT DATA PAYMENT SERVICES (THAILAND) CO., LTD."   25621016
              370                                                บริษัท ชโย แคปปิตอล จำกัด                                                                                                                                                                                                                          CHAYO CAPITAL COMPANY LIMITED   25620401
              371                                    บริษัท ศรีสวัสดิ์ พาวเวอร์ 2014 จำกัด                                                                                                                                                                                                                    SRISAWAD POWER 2014 COMPANY LIMITED   25630219
              372                                         บริษัท เพย์พาล (ประเทศไทย) จำกัด                                                                                                                                                                                                                      PAYPAL (THAILAND) COMPANY LIMITED   25640307
              373                           บริษัท เฮงลิสซิ่ง แอนด์ แคปปิตอล จำกัด (มหาชน)                                                                                                                                                                                                                               HENG LEASING AND CAPITAL   25620715
              375                                      บริษัท จีฟิน เซอร์วิสเซส (ที) จำกัด                                                                                                                                                                                                                      GFIN SERVICES (T) COMPANY LIMITED   25621001
              376                                                     บริษัท ฟิน โกล จำกัด                                                                                                                                                                                                                               FIN GOAL COMPANY LIMITED   25630401
              377                                                  บริษัท กสิกร ไลน์ จำกัด                                                                                                                                                                                                                          KASIKORN LINE COMPANY LIMITED   25630923
              378                                                  บริษัท ลิ้ม สุขใจ จำกัด                                                                                                                                                                                                                             LIM SUKJAI COMPANY LIMITED   25630113
